Previous File Location :	2484590
No of Bytes Stored in Previous File :	498
Model Name :	MIDAS CTD+6000
File Name :	UNKNOWN
Site Information :	ESTAÁ„O 0626
Serial No, :	70145
No, of Modules Connected :	9
Fitted Address List :	16;17;21;47;49;52;53;54;55;
Parameters for each module :	1;1;2;1;1;1;1;1;1;
User Calibrations :
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;5,000000e-03;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,765398e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e+00;0,000000e+00
15;-1,744820e-37;0,000000e+00;0,000000e+00;0,000000e+00;-1,948410e-02;6,025965e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;6,250000e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e+00;0,000000e+00
15;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;1,000000e-03;0,000000e+00
Secondary Cal Used :	1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;
Gain :	8;0;0;500;0;0;10000;1000;0;1;0;0;500;0;0;60;0;0;8;0;0;30;0;0;8;0;0;
Offset :	-20000;0;0;-25000;0;0;0;-20000;0;0;0;0;-20000;0;0;0;0;0;-20000;0;0;0;0;0;-20000;0;0;
Gain Control Settings :	100;0;10;1;0;0;255;0;100;
SD Selected Flag :	1
Average Mode :	FIXED
Moving Average Length :	1
Sample Mode :	TRIP
Sample Interval :	60
Sample Rate :	8
Sample Period :	1
Tare Setting :	10,248
Tare Time Stamp :	28/07/2019 15:08:06
Density :	1025,973
Gravity :	9,807
Time Stamp :	29/07/2019 21:51:55
External PSU Voltage :	9
Date / Time	TURBIDITY;FTU	DISSOLVED OXYGEN;SAT%	PRESSURE;DBAR	TEMPERATURE;C	ALTITUDE;M	CONDUCTIVITY;MS/CM	PH;PH	PAR;GQ/M2	REDOX;MV	FLUOROMETER (C);UG/L	Calc, SALINITY; PSU	Calc, DENSITY ANOMALY; KG/M3 [EOS-80]	Calc, SOS; M/SEC	
29/07/2019 21:51:55	0,446	79,803	10,011	24,279	0,000	55,312	6,534	-259,375	588,933	-0,041	37,260	1025,313	1535,270	
30/07/2019 03:19:41	0,453	79,771	11,039	24,273	0,000	55,306	6,459	-259,375	591,967	-0,041	37,260	1025,319	1535,272	
30/07/2019 03:19:45	0,453	79,754	10,936	24,276	0,000	55,314	6,420	-259,375	592,600	-0,041	37,264	1025,320	1535,282	
30/07/2019 03:19:48	0,446	79,789	11,066	24,283	0,000	55,320	6,407	-259,375	593,800	-0,041	37,262	1025,318	1535,300	
30/07/2019 03:19:51	0,436	79,739	10,918	24,281	0,000	55,318	6,396	-259,375	595,233	-0,041	37,262	1025,318	1535,293	
30/07/2019 03:19:54	0,443	79,810	11,028	24,284	0,000	55,314	6,385	-259,375	596,367	-0,041	37,257	1025,313	1535,296	
30/07/2019 03:19:58	0,450	79,732	10,956	24,281	0,000	55,316	6,420	-259,375	596,900	-0,041	37,261	1025,317	1535,292	
30/07/2019 03:20:01	0,442	79,785	11,021	24,266	0,000	55,308	6,442	-259,375	598,567	-0,041	37,267	1025,327	1535,263	
30/07/2019 03:20:05	0,451	79,778	10,940	24,281	0,000	55,318	6,445	-259,375	601,367	-0,041	37,262	1025,318	1535,293	
30/07/2019 03:20:08	0,433	79,817	11,045	24,282	0,000	55,318	6,441	-259,375	602,367	-0,041	37,262	1025,318	1535,296	
30/07/2019 03:20:12	0,435	79,747	10,984	24,281	0,000	55,316	6,483	-259,375	603,300	-0,041	37,261	1025,317	1535,292	
30/07/2019 03:20:14	0,434	79,757	11,002	24,276	0,000	55,314	6,533	-259,375	604,700	-0,041	37,264	1025,321	1535,283	
30/07/2019 03:20:18	0,428	79,725	10,995	24,280	0,000	55,316	6,525	-259,375	604,567	-0,041	37,262	1025,318	1535,291	
30/07/2019 03:20:21	0,436	79,764	11,013	24,281	0,000	55,320	6,525	-259,375	603,567	-0,041	37,264	1025,320	1535,296	
30/07/2019 03:20:23	0,434	79,764	12,014	24,280	0,000	55,318	6,506	-259,375	603,100	-0,041	37,263	1025,323	1535,309	
30/07/2019 03:20:24	0,436	79,690	11,961	24,279	0,000	55,312	6,505	-259,375	603,300	-0,041	37,259	1025,321	1535,302	
30/07/2019 03:20:26	0,439	79,690	10,985	24,281	0,000	55,322	6,486	-259,375	603,400	-0,041	37,265	1025,321	1535,297	
