,PRESSURE;DBAR,TEMPERATURE;C,Calc. SALINITY; PSU
0,11.02,22.81,36.59
1,12.04,22.81,36.58
2,15.08,22.83,36.65
3,19.52,22.83,36.7
4,24.08,22.85,36.74
5,29.11,22.87,36.76
6,34.05,22.88,36.78
7,39.08,22.88,36.79
8,44.08,22.89,36.81
9,49.05,22.9,36.82
10,54.04,22.91,36.82
11,59.09,22.91,36.83
12,64.04,22.91,36.83
13,69.04,22.91,36.83
14,74.07,22.91,36.83
15,79.13,22.91,36.83
16,84.06,22.91,36.83
17,89.06,22.9,36.83
18,94.1,22.9,36.84
19,99.13,22.9,36.84
20,104.08,22.83,36.83
21,109.08,22.75,36.82
22,114.06,22.38,36.7
23,119.16,21.2,36.37
24,123.62,19.94,36.26
25,128.07,19.4,36.2
26,133.07,19.03,36.15
27,138.07,18.4,36.03
28,143.11,17.74,35.94
29,148.06,17.45,35.91
30,153.11,17.07,35.84
31,158.03,16.64,35.8
32,163.07,15.95,35.67
33,168.14,15.75,35.66
34,173.05,15.49,35.61
35,178.09,15.33,35.6
36,183.09,15.23,35.57
37,188.03,15.12,35.56
38,193.03,14.97,35.52
39,198.07,14.69,35.5
40,203.08,14.46,35.45
41,208.02,14.3,35.43
42,213.05,14.18,35.43
43,218.06,14.1,35.41
44,223.04,13.91,35.36
45,228.15,13.62,35.34
46,233.08,13.55,35.33
47,238.15,13.48,35.31
48,243.06,13.36,35.3
49,248.08,13.22,35.26
50,253.06,12.99,35.24
51,258.08,12.89,35.25
52,262.62,12.85,35.23
53,267.09,12.72,35.21
54,272.03,12.59,35.19
55,277.07,12.54,35.19
56,282.07,12.48,35.17
57,287.07,12.34,35.15
58,292.03,12.23,35.14
59,297.06,12.07,35.1
60,302.06,11.98,35.1
61,307.04,11.87,35.09
62,312.01,11.72,35.07
63,317.08,11.6,35.04
64,322.1,11.51,35.04
65,327.03,11.43,35.02
66,332.06,11.35,35.01
67,337.03,11.32,35.01
68,342.13,11.22,34.99
69,347.03,11.15,34.98
70,352.1,11.07,34.97
71,357.04,10.96,34.96
72,362.04,10.9,34.96
73,367.05,10.83,34.94
74,372.09,10.78,34.94
75,377.04,10.71,34.93
76,382.01,10.61,34.9
77,387.11,10.45,34.91
78,392.11,10.39,34.89
79,397.07,10.37,34.89
80,402.08,10.29,34.86
81,407.06,10.11,34.85
82,412.15,9.99,34.83
83,417.13,9.9,34.82
84,422.07,9.86,34.82
