,Date / Time,TURBIDITY;FTU,DISSOLVED OXYGEN;SAT%,PRESSURE;DBAR,TEMPERATURE;C,ALTITUDE;M,CONDUCTIVITY;MS/CM,PH;PH,PAR;GQ/M2,REDOX;MV,FLUOROMETER (C);UG/L,Calc. SALINITY; PSU,Calc. DENSITY ANOMALY; KG/M3 [EOS-80],Calc. SOS; M/SEC,Unnamed: 14
3.6100761765395526,29/07/2019 09:14:22,0.494,85.272,12.071,22.548,0.0,52.3,4.485,-259.375,889.233,-0.041,36.381,1025.164,1530.007,
4.759923420179567,29/07/2019 09:14:29,0.498,85.297,12.025,22.549,0.0,52.308,4.537,-259.375,887.6,-0.041,36.386,1025.168,1530.015,
6.187961014626099,29/07/2019 09:14:36,0.549,85.099,12.073,22.548,0.0,52.306,4.584,-259.375,889.067,-0.041,36.386,1025.168,1530.012,
7.843108030894861,29/07/2019 09:14:44,0.49,84.919,12.008,22.546,0.0,52.31,4.546,-259.375,886.4,-0.041,36.39,1025.172,1530.011,
9.662658268794422,29/07/2019 09:14:51,0.494,85.018,12.098,22.541,0.0,52.304,4.547,-259.375,883.767,-0.041,36.39,1025.173,1529.999,
11.586785297240345,29/07/2019 09:14:58,0.564,85.159,12.037,22.546,0.0,52.308,4.535,-259.375,882.033,-0.041,36.389,1025.17,1530.01,
13.566653230775005,29/07/2019 09:15:04,0.487,85.188,12.007,22.546,0.0,52.308,4.497,-259.375,881.133,-0.041,36.389,1025.17,1530.009,
15.568283556334494,29/07/2019 09:15:10,0.501,84.993,12.04,22.542,0.0,52.304,4.438,-259.375,877.667,-0.041,36.389,1025.172,1530.0,
17.57398638678156,29/07/2019 09:15:28,0.473,84.866,12.002,22.544,0.0,52.308,4.591,-259.375,877.2,-0.041,36.391,1025.172,1530.006,
19.58022887205302,29/07/2019 09:15:30,0.476,84.834,13.044,22.548,0.0,52.308,4.607,-259.375,876.567,-0.041,36.387,1025.173,1530.03,
21.59025415749796,29/07/2019 09:15:35,0.539,84.933,12.075,22.546,0.0,52.31,4.654,-259.375,875.933,-0.041,36.39,1025.172,1530.012,
23.60654890724255,29/07/2019 09:15:37,0.502,85.018,13.063,22.547,0.0,52.31,4.654,-259.375,875.9,-0.041,36.389,1025.175,1530.03,
25.62799907381507,29/07/2019 09:15:42,0.476,85.106,12.022,22.549,0.0,52.308,4.731,-259.375,874.6,-0.041,36.386,1025.168,1530.015,
27.64928311276941,29/07/2019 09:15:43,0.481,85.043,13.007,22.547,0.0,52.31,4.73,-259.375,873.7,-0.041,36.389,1025.175,1530.029,
29.66014753687139,29/07/2019 09:15:48,0.481,84.937,12.004,22.547,0.0,52.31,4.744,-259.375,872.833,-0.041,36.39,1025.171,1530.013,
31.64478395376423,29/07/2019 09:15:49,0.488,85.011,13.075,22.544,0.0,52.31,4.745,-259.375,871.7,-0.041,36.392,1025.178,1530.025,
33.58171493111746,29/07/2019 09:15:55,0.503,85.156,12.049,22.55,0.0,52.312,4.784,-259.375,870.333,-0.041,36.389,1025.169,1530.02,
35.44480039955208,29/07/2019 09:15:56,0.474,85.244,13.019,22.544,0.0,52.312,4.788,-259.375,869.9,-0.041,36.393,1025.179,1530.026,
37.20617327793644,29/07/2019 09:16:02,0.496,85.276,12.022,22.547,0.0,52.31,4.77,-259.375,870.8,-0.041,36.39,1025.171,1530.013,
38.84205558711127,29/07/2019 09:16:03,0.483,85.248,13.032,22.547,0.0,52.31,4.77,-259.375,869.733,-0.041,36.389,1025.175,1530.029,
40.340007618337026,29/07/2019 09:16:09,0.469,84.852,13.036,22.546,0.0,52.308,4.809,-259.375,867.567,-0.041,36.388,1025.174,1530.026,
41.70356768001626,29/07/2019 09:16:13,0.466,84.005,14.017,22.545,0.0,52.308,4.859,-259.375,867.233,-0.041,36.389,1025.179,1530.041,
42.95226284769687,29/07/2019 09:16:16,0.468,84.231,15.071,22.548,0.0,52.312,4.9,-259.375,867.467,-0.041,36.389,1025.183,1530.066,
44.11685408673581,29/07/2019 09:16:17,0.463,84.506,16.002,22.548,0.0,52.312,4.936,-259.375,867.167,-0.041,36.389,1025.187,1530.081,
45.2315642808704,29/07/2019 09:16:21,0.469,84.707,17.052,22.547,0.0,52.316,4.994,-259.375,865.833,-0.041,36.392,1025.195,1530.1,
46.32707248503594,29/07/2019 09:16:22,0.46,84.778,18.093,22.551,0.0,52.314,5.01,-259.375,865.5,-0.041,36.387,1025.194,1530.122,
47.425499714974755,29/07/2019 09:16:23,0.478,84.863,19.045,22.546,0.0,52.318,5.019,-259.375,864.867,-0.041,36.394,1025.205,1530.133,
48.53630007305582,29/07/2019 09:16:23,0.469,84.962,20.105,22.548,0.0,52.318,5.033,-259.375,864.167,-0.041,36.392,1025.207,1530.154,
49.654693277646345,29/07/2019 09:16:27,0.469,85.244,20.037,22.548,0.0,52.318,5.049,-259.375,861.3,-0.041,36.392,1025.207,1530.152,
50.767123813282254,29/07/2019 09:16:28,0.466,85.233,21.08,22.548,0.0,52.318,5.049,-259.375,860.633,-0.041,36.392,1025.211,1530.169,
51.86141601248545,29/07/2019 09:16:29,0.459,85.195,22.162,22.548,0.0,52.318,5.05,-259.375,859.867,-0.041,36.391,1025.216,1530.187,
52.93231292126869,29/07/2019 09:16:29,0.474,85.23,23.148,22.549,0.0,52.318,5.055,-259.375,859.533,-0.041,36.39,1025.219,1530.205,
53.98035185967392,29/07/2019 09:16:30,0.517,85.219,24.267,22.549,0.0,52.32,5.065,-259.375,859.333,-0.041,36.391,1025.224,1530.225,
55.00912055480984,29/07/2019 09:16:30,0.459,85.297,25.076,22.55,0.0,52.322,5.064,-259.375,859.333,-0.041,36.392,1025.228,1530.241,
56.02333578223369,29/07/2019 09:16:34,0.524,85.265,26.088,22.552,0.0,52.322,5.12,-259.375,859.1,-0.041,36.39,1025.23,1530.261,
57.02764322695307,29/07/2019 09:16:35,0.586,85.188,27.048,22.55,0.0,52.322,5.114,-259.375,858.2,-0.041,36.391,1025.236,1530.274,
58.02597983990736,29/07/2019 09:16:36,0.467,85.142,28.215,22.551,0.0,52.324,5.111,-259.375,857.467,-0.041,36.391,1025.241,1530.296,
59.02133186294585,29/07/2019 09:16:36,0.459,85.163,29.119,22.55,0.0,52.322,5.118,-259.375,856.667,-0.041,36.39,1025.244,1530.307,
60.01574139362575,29/07/2019 09:16:37,0.451,85.142,30.106,22.551,0.0,52.324,5.137,-259.375,855.2,-0.041,36.391,1025.249,1530.327,
61.010446225426875,29/07/2019 09:16:40,0.459,85.046,31.048,22.554,0.0,52.33,5.142,-259.375,855.033,-0.041,36.393,1025.253,1530.352,
62.00607153221335,29/07/2019 09:16:41,0.462,84.944,32.03,22.552,0.0,52.342,5.132,-259.375,855.433,-0.041,36.403,1025.266,1530.375,
63.00282197714752,29/07/2019 09:16:42,0.456,84.951,33.09,22.553,0.0,52.362,5.134,-259.375,856.033,-0.041,36.418,1025.281,1530.412,
64.00064643830277,29/07/2019 09:16:43,0.465,85.007,34.166,22.559,0.0,52.368,5.125,-259.375,856.567,-0.041,36.417,1025.284,1530.444,
64.9993642843727,29/07/2019 09:16:43,0.469,85.011,35.076,22.561,0.0,52.378,5.125,-259.375,857.0,-0.041,36.423,1025.292,1530.471,
65.99875273718935,29/07/2019 09:16:46,0.471,84.947,36.032,22.562,0.0,52.368,5.074,-259.375,857.833,-0.041,36.414,1025.289,1530.48,
66.99860060131036,29/07/2019 09:16:47,0.523,84.831,37.073,22.559,0.0,52.388,5.041,-259.375,857.367,-0.041,36.432,1025.308,1530.509,
